800	11	0.898
543	41	0.8495
866	95	0.7305
948	70	0.4925
854	75	0.4735
533	78	0.813
640	83	0.852
565	48	0.847
232	69	0.658
1000	65	0.391
483	56	0.869
547	97	0.6725
968	49	0.4415
641	16	0.4755
850	4	0.699
244	28	0.5245
897	67	0.4805
691	64	0.102
486	34	0.575
771	12	0.306
502	18	0.1555
33	88	0.7695
194	74	0.131
271	69	0.59
699	64	0.636
3	34	0.4905
727	90	0.6335
936	19	0.495
312	50	0.245
367	81	0.675
410	46	0.7305
539	43	0.051
583	26	0.92
857	58	0.0535
776	48	0.398
431	47	0.796
286	2	0.755
579	47	0.8275
291	94	0.762
271	65	0.6455
691	36	0.636
991	14	0.3445
366	27	0.9225
150	19	0.4735
49	36	0.3035
324	89	0.641
15	50	0.847
247	24	0.626
710	39	0.4565
201	46	0.9295
242	73	0.813
381	90	0.898
225	1	0.4855
557	43	0.3275
782	73	0.085
886	66	0.852
592	2	0.9225
102	56	0.6115
943	73	0.0315
737	19	0.512
155	14	0.9415
920	70	0.449
549	71	0.944
673	63	0.403
213	59	0.58
477	38	0.9175
826	80	0.444
357	62	0.6335
748	88	0.6625
555	98	0.626
682	85	0.136
17	21	0.284
853	78	0.733
496	94	0.1795
707	78	0.7595
633	13	0.7255
659	99	0.5995
391	78	0.5145
113	62	0.84
326	33	0.6115
987	94	0.165
33	76	0.6895
790	69	0.9415
905	99	0.097
669	63	0.966
97	91	0.75
471	90	0.9295
676	2	0.8325
318	97	0.9295
950	2	0.124
794	99	0.687
968	66	0.5
871	11	0.8495
743	65	0.796
332	65	0.7915
11	100	0.7525
968	45	0.9295
118	27	0.5825
406	63	0.0095
141	85	0.0315
994	73	0.34
977	59	0.267
755	44	0.7185
57	34	0.6385
162	82	0.0415
132	37	0.0315
117	21	0.8885
616	82	0.9685
102	51	0.5245
939	64	0.779
592	58	0.823
207	1	0.842
962	26	0.755
485	24	0.2935
276	11	0.199
638	8	0.6165
904	72	0.626
920	20	0.711
345	56	0.7135
437	90	0.5945
44	23	0.3085
763	27	0.017
251	29	0.2865
158	75	0.4635
842	60	0.012
98	98	0.9515
383	91	0.194
484	25	0.8155
259	86	0.5945
121	60	0.4125
346	40	0.699
658	85	0.029
709	56	0.573
671	84	0.859
822	29	0.641
16	62	0.721
923	76	0.5535
477	13	0.585
668	80	0.932
120	1	0.505
1000	74	0.369
848	53	0.4415
986	32	0.908
72	27	0.5265
31	3	0.158
467	42	0.216
549	84	0.949
398	42	0.859
310	18	0.4855
502	10	0.772
905	81	0.1165
47	17	0.4855
640	89	0.881
817	59	0.284
916	37	0.7915
368	91	0.556
642	11	0.641
848	70	0.238
92	73	0.0075
446	14	0.8155
20	21	0.8785
619	8	0.279
83	14	0.7065
708	9	0.2425
727	8	0.3885
579	46	0.755
810	71	0.4925
670	20	0.6215
681	67	0.022
562	54	0.5
919	86	0.7935
930	70	0.359
536	73	0.876
681	64	0.6965
246	11	0.818
971	58	0.4295
21	92	0.7405
69	70	0.7425
57	14	0.6385
941	41	0.3445
72	51	0.9175
701	56	0.5605
557	91	0.842
21	8	0.2525
541	1	0.7815
43	63	0.2865
91	89	0.7355
6	90	0.8785
443	72	0.6385
240	81	0.5025
226	25	0.658
694	52	0.0435
111	69	0.5435
961	55	0.4635
314	73	0.42
805	48	0.677
284	69	0.779
423	95	0.568
976	94	0.7135
846	85	0.1675
713	11	0.3085
436	45	0.7985
106	50	0.699
422	32	0.932
187	25	0.522
582	99	0.7135
855	9	0.8105
745	1	0.825
358	33	0.563
36	94	0.9585
139	43	0.4905
208	11	0.512
831	36	0.806
830	84	0.842
238	55	0.8375
838	97	0.6285
170	84	0.359
274	14	0.636
127	25	0.267
370	53	0.529
156	57	0.17
275	58	0.1895
39	90	0.216
879	59	0.4415
643	21	0.546
693	53	0.954
186	40	0.3615
218	18	0.7525
141	47	0.7085
856	23	0.357
72	8	0.825
658	64	0.5075
97	50	0.7915
593	62	0.609
747	18	0.6455
200	12	0.8885
663	35	0.728
823	84	0.1505
771	79	0.342
592	97	0.852
803	96	0.483
467	6	0.9175
284	67	0.653
203	21	0.84
486	65	0.5145
972	54	0.347
415	77	0.4395
64	59	0.1045
266	35	0.6385
363	35	0.7935
337	85	0.556
520	75	0.0945
937	34	0.609
250	17	0.1725
776	24	0.2355
633	22	0.408
310	53	0.6505
804	68	0.852
420	2	0.296
944	81	0.9295
459	57	0.4855
298	90	0.915
519	95	0.7985
595	66	0.796
332	98	0.427
276	99	0.859
988	50	0.4905
579	75	0.0025
81	96	0.563
509	50	0.6625
172	18	0.5
629	95	0.017
697	89	0.944
548	36	0.944
318	79	0.91
194	22	0.7185
115	99	0.7865
880	56	0.614
50	29	0.869
765	77	0.4345
933	47	0.4565
776	56	0.534
554	53	0.624
466	88	0.4755
139	52	0.4515
261	12	0.745
646	76	0.4005
455	84	0.4855
